,game id,team home,total atq home,pontos ataques home,atq error home,% atq home,% rec home,bloqueio home,server error home,team away,total atq away,pontos ataques away,atq error away,% atq away,% rec away,bloqueio away,server error away,qts sets,vencedor
0,11700,France,77,39,8,51,44,7,19,Bulgaria,76,36,15,47,39,5,17,3,True
0,11701,Germany,70,42,6,60,35,5,19,Australia,61,28,9,46,25,3,15,3,True
0,11702,Japan,94,45,13,48,50,7,7,Iran,84,41,12,49,46,8,16,3,True
0,11703,Serbia,121,66,19,55,33,14,19,Slovenia,111,53,21,48,30,9,17,4,True
0,11704,Netherlands,89,49,14,55,20,6,18,Russia,94,51,11,54,29,10,18,4,False
0,11705,USA,97,43,12,44,35,5,16,Canada,80,30,16,38,29,6,9,3,True
0,11706,Poland,79,39,10,49,57,8,13,Italy,85,33,12,39,18,6,15,3,True
0,11707,Brazil,84,44,19,52,47,6,9,Argentina,52,38,21,73,21,13,11,3,True
0,11708,Germany,126,62,17,49,40,12,22,France,118,63,15,53,47,11,20,5,False
0,11709,Iran,104,49,15,47,36,3,18,Russia,98,57,8,58,34,10,18,4,False
0,11710,Netherlands,116,60,18,52,38,6,21,Japan,110,66,11,60,49,6,22,5,False
0,11711,Australia,69,26,15,38,18,3,11,Bulgaria,74,34,14,46,37,5,19,3,False
0,11712,Poland,92,46,10,50,36,13,20,Serbia,93,45,18,48,29,3,15,4,True
0,11713,Italy,81,32,13,40,35,3,13,Slovenia,82,40,5,49,42,4,14,3,False
0,11714,Argentina,57,27,22,47,35,5,13,Canada,13,33,0,254,0,7,0,3,False
0,11715,USA,87,36,14,41,42,9,15,Brazil,79,40,12,51,31,7,11,3,False
0,11716,Australia,111,47,18,42,30,8,21,France,107,49,17,46,32,10,18,4,False
0,11717,Netherlands,83,35,15,42,22,3,13,Iran,73,44,9,60,33,9,20,3,False
0,11718,Germany,120,53,23,44,29,12,22,Bulgaria,124,55,23,44,27,14,24,5,True
0,11719,Russia,126,65,19,52,39,18,18,Japan,143,75,21,52,28,7,21,5,False
0,11720,USA,105,54,16,51,45,12,25,Argentina,63,36,21,57,22,9,16,4,True
0,11721,Canada,111,52,15,47,33,12,17,Brazil,119,60,18,50,37,6,12,4,False
0,11722,Poland,128,51,18,40,42,8,11,Slovenia,142,61,16,43,46,8,16,4,False
0,11723,Serbia,125,61,14,49,33,11,22,Italy,120,48,16,40,31,7,16,4,True
0,11724,Germany,109,56,11,51,41,9,18,Argentina,135,70,17,52,38,8,26,5,False
0,11725,Iran,96,55,14,57,33,14,20,Canada,107,51,19,48,25,7,16,4,True
0,11726,Japan,115,54,20,47,48,7,11,Serbia,99,58,11,59,47,17,15,4,False
0,11727,Brazil,100,49,20,49,31,5,15,France,105,54,10,51,32,6,18,3,False
0,11728,Netherlands,75,28,16,37,30,4,13,Slovenia,69,39,7,57,46,7,11,3,False
0,11729,Australia,68,20,20,29,34,1,10,Poland,53,31,5,58,41,13,12,3,False
0,11730,Italy,119,69,13,58,27,10,17,Bulgaria,117,60,18,51,31,9,12,5,True
0,11731,Russia,107,56,12,52,33,6,17,USA,101,52,16,51,26,5,17,4,True
0,11732,Argentina,87,32,15,37,21,7,11,Slovenia,85,41,9,48,20,5,16,3,False
0,11733,Netherlands,124,66,16,53,42,7,22,Germany,109,55,14,50,43,6,19,5,True
0,11734,Brazil,83,48,12,58,28,3,9,Japan,74,31,9,42,22,6,11,3,True
0,11735,Serbia,105,62,14,59,44,11,22,France,117,58,20,50,40,5,21,5,True
0,11736,Iran,126,50,11,40,30,10,13,Italy,137,64,19,47,44,3,20,4,True
0,11737,Poland,74,40,12,54,35,10,12,USA,88,32,16,36,38,8,18,3,True
0,11738,Russia,75,46,10,61,-126,7,17,Australia,65,29,8,45,25,4,9,3,True
0,11739,Canada,77,41,10,53,25,10,11,Bulgaria,83,39,15,47,29,4,15,3,True
0,11740,Netherlands,95,35,17,37,45,7,11,Argentina,81,43,9,53,33,10,9,3,False
0,11741,Slovenia,112,47,16,42,35,5,20,Germany,112,48,10,43,28,8,22,4,False
0,11742,France,122,65,16,53,37,9,19,Japan,122,63,18,52,48,7,19,5,True
0,11743,Brazil,97,58,11,60,39,14,19,Serbia,108,49,25,45,36,6,12,4,True
0,11744,Russia,94,45,19,48,23,4,20,Poland,83,42,9,51,21,12,17,4,False
0,11745,USA,74,38,8,51,32,9,14,Australia,85,36,18,42,22,2,9,3,True
0,11746,Bulgaria,98,40,18,41,12,5,19,Iran,78,41,11,53,18,9,14,3,False
0,11747,Canada,146,61,34,42,37,8,19,Italy,109,50,15,46,27,18,16,5,False
0,11748,Serbia,91,45,9,49,20,9,23,Germany,93,41,19,44,24,5,21,4,True
0,11749,Japan,126,64,19,51,48,8,13,Australia,126,59,15,47,26,8,15,4,True
0,11750,France,107,56,14,52,28,9,18,Russia,110,54,15,49,24,5,23,4,True
0,11751,Slovenia,72,44,10,61,38,3,15,Canada,67,34,7,51,24,5,14,3,True
0,11752,Argentina,105,38,22,36,28,9,14,Italy,91,38,11,42,41,16,15,3,False
0,11753,Iran,91,44,13,48,35,7,10,USA,88,37,15,42,35,6,10,3,True
0,11754,Poland,66,39,3,59,41,8,15,Bulgaria,65,27,14,42,39,2,13,3,True
0,11755,Netherlands,86,41,14,48,35,7,14,Brazil,82,44,14,54,36,9,5,3,False
0,11756,Serbia,116,65,16,56,35,12,21,Iran,106,51,18,48,34,8,16,5,True
0,11757,Russia,97,51,9,53,32,15,19,Canada,105,44,21,42,32,5,17,4,True
0,11758,France,103,48,19,47,46,3,22,Slovenia,105,55,9,52,24,11,32,5,False
0,11759,Argentina,83,49,9,59,49,6,12,Australia,78,32,11,41,39,7,10,3,True
0,11760,Germany,73,24,17,33,20,3,19,USA,71,36,6,51,28,11,21,3,False
0,11761,Bulgaria,66,31,15,47,19,4,12,Brazil,57,38,6,67,31,4,11,3,False
0,11762,Japan,147,70,17,48,38,6,14,Italy,135,59,14,44,17,12,14,5,True
0,11763,Poland,62,35,8,56,36,9,14,Netherlands,75,22,15,29,19,3,16,3,True
0,11764,Iran,106,60,21,57,37,7,31,Germany,91,47,10,52,31,13,25,5,False
0,11765,Slovenia,122,64,19,52,20,9,25,Russia,110,47,17,43,22,14,16,5,True
0,11766,Japan,136,54,21,40,28,6,15,Argentina,127,61,16,48,40,9,14,4,False
0,11767,Netherlands,111,66,16,59,23,5,24,Bulgaria,102,53,10,52,22,9,15,5,False
0,11768,Australia,79,33,15,42,25,4,10,Italy,76,44,7,58,30,5,15,3,False
0,11769,USA,108,55,15,51,48,8,21,Serbia,93,55,12,59,27,11,13,4,False
0,11770,Canada,120,52,25,43,36,9,17,France,106,46,18,43,39,14,10,4,False
0,11771,Poland,86,37,8,43,45,7,14,Brazil,93,52,11,56,24,5,12,3,False
0,11772,Russia,113,50,14,44,35,15,16,Serbia,110,55,23,50,25,7,15,4,True
0,11773,Iran,124,54,26,44,38,13,18,Australia,129,55,29,43,54,12,16,5,False
0,11774,Argentina,92,54,13,59,30,3,19,Bulgaria,102,45,12,44,34,7,16,4,True
0,11775,Japan,83,46,9,55,57,5,10,Germany,81,38,8,47,33,5,17,3,True
0,11776,Italy,79,29,15,37,25,1,11,USA,73,39,5,53,34,7,15,3,False
0,11777,Canada,77,39,9,51,11,4,14,Poland,83,44,7,53,18,4,13,3,False
0,11778,Brazil,112,56,18,50,26,7,15,Slovenia,112,58,14,52,28,7,18,5,True
0,11779,Netherlands,129,64,20,50,20,6,15,France,129,73,14,57,28,12,24,5,True
0,11780,Argentina,117,48,25,41,19,5,16,Russia,104,49,11,47,32,14,20,4,False
0,11781,Serbia,65,42,10,65,22,7,8,Bulgaria,72,32,12,44,20,7,10,3,True
0,11782,Slovenia,104,57,17,55,41,6,16,Australia,94,42,16,45,39,10,13,4,True
0,11783,Japan,79,34,14,43,23,0,19,Poland,63,35,3,56,30,6,14,3,False
0,11784,Netherlands,119,55,20,46,31,7,16,Italy,105,53,13,50,27,12,13,4,False
0,11785,Canada,80,39,8,49,39,6,11,Germany,84,38,11,45,45,3,15,3,True
0,11786,USA,132,57,17,43,41,14,24,France,128,57,22,45,33,6,15,4,False
0,11787,Iran,118,48,20,41,49,7,24,Brazil,114,49,15,43,28,12,16,4,False
0,11788,Argentina,80,45,13,56,37,8,14,Serbia,80,38,17,48,19,7,13,3,True
0,11789,Bulgaria,65,24,12,37,25,3,10,Russia,69,45,5,65,28,7,21,3,False
0,11790,Japan,88,42,12,48,19,2,10,Canada,85,44,5,52,28,6,11,3,False
0,11791,Australia,95,35,13,37,27,3,9,Brazil,80,48,7,60,48,6,7,3,False
0,11792,Iran,100,51,14,51,39,12,13,Slovenia,112,60,17,54,46,6,20,4,False
0,11793,Netherlands,118,51,13,43,21,3,16,USA,111,67,14,60,41,8,22,5,False
0,11794,France,133,65,18,49,26,8,18,Italy,120,64,16,53,49,11,15,5,False
0,11795,Germany,77,34,13,44,23,2,12,Poland,84,46,8,55,22,7,16,3,False
0,11796,Australia,99,34,24,34,35,6,11,Serbia,89,52,11,58,46,11,15,4,False
0,11797,Japan,85,50,12,59,31,6,7,Bulgaria,82,34,12,41,17,8,9,3,True
0,11798,France,70,41,11,59,42,8,13,Iran,77,35,15,45,48,8,11,3,True
0,11799,Canada,68,42,9,62,33,11,9,Netherlands,85,29,17,34,29,3,9,3,True
0,11800,Brazil,125,67,12,54,25,5,16,Italy,124,61,13,49,18,9,15,4,True
0,11801,Slovenia,129,69,17,53,22,11,25,USA,131,61,20,47,32,10,22,5,True
0,11802,Poland,80,44,6,55,24,3,15,Argentina,73,37,6,51,22,1,17,3,True
0,11803,Germany,98,42,15,43,31,7,16,Russia,99,58,12,59,26,9,20,4,False
0,11804,Canada,74,41,4,55,50,10,15,Australia,78,22,14,28,26,1,13,3,True
0,11805,Serbia,110,64,16,58,31,5,18,Netherlands,106,60,14,57,31,11,18,5,True
0,11806,Bulgaria,80,30,19,38,22,2,9,USA,77,41,9,53,36,7,11,3,False
0,11807,Iran,82,27,19,33,18,5,15,Poland,68,31,15,46,30,11,7,3,False
0,11808,Japan,88,38,19,43,35,4,7,Slovenia,80,45,8,56,29,10,9,3,False
0,11809,France,83,41,15,49,28,8,13,Argentina,75,37,12,49,20,7,16,3,True
0,11810,Brazil,89,43,11,48,48,5,16,Germany,79,34,10,43,35,5,17,3,True
0,11811,Russia,105,56,18,53,20,9,17,Italy,83,57,5,69,150,10,2,5,True
0,11812,Australia,67,33,14,49,42,6,10,Netherlands,73,42,11,58,53,8,16,3,False
0,11813,Canada,126,47,17,37,33,19,14,Serbia,141,62,28,44,33,9,27,5,True
0,11814,USA,79,48,7,61,45,10,18,Japan,88,35,12,40,44,3,13,3,True
0,11815,France,122,57,24,47,43,11,20,Poland,109,52,19,48,41,15,25,5,True
0,11816,Iran,111,59,21,53,30,9,19,Argentina,112,65,15,58,24,12,23,4,False
0,11817,Slovenia,65,36,12,55,29,5,9,Bulgaria,74,34,16,46,28,8,17,3,True
0,11818,Italy,125,58,17,46,22,15,22,Germany,131,52,25,40,31,9,21,5,True
0,11819,Brazil,72,36,18,50,18,4,11,Russia,75,40,9,53,19,9,15,3,False
